Bladder Urothelial Carcinoma	4.528078588685037e-05	3.914580363832153
Breast Invasive Carcinoma	3.6426327222065545e-14	7.482624801079108
Colorectal Adenocarcinoma	4.07706301848076e-08	5.363684543752837
Cholangiocarcinoma	0.0041417814513291145	2.640287882919003
Esophageal Adenocarcinoma	7.204637397529421e-08	5.25995233534607
Head and Neck Squamous Cell Carcinoma	4.9235153462902486e-12	6.808720891826171
Kidney Chromophobe	0.00010807748902925187	3.6993469091276223
Kidney Renal Clear Cell Carcinoma	2.8352421244302506e-15	7.8110692590886055
Brain Lower Grade Glioma	2.081208277494674e-44	13.930019531575077
Liver Hepatocellular Carcinoma	0.0009521244354089843	3.1047733411248015
Lung Adenocarcinoma	0.01309215667645863	2.223467190836787
Lung Squamous Cell Carcinoma	0.017219185200410186	2.1149011824110833
Mesothelioma	0.0014007969700798545	2.9887083727600734
Ovarian Serous Cystadenocarcinoma	4.663000790429549e-36	12.482294351020451
Pancreatic Adenocarcinoma	3.760596093877904e-25	10.293721643053892
Prostate Adenocarcinoma	0.00021636527477296636	3.5192733822891236
Sarcoma	9.820844998874092e-05	3.723580876971839
Stomach Adenocarcinoma	7.686309799817888e-05	3.7849714976156967
Uterine Corpus Endometrial Carcinoma	1.6260929522389349e-18	8.702302050763116
Uterine Carcinosarcoma	2.1424592887001572e-09	5.872801335678358
